person,award,year_of_award,movie,state,country,date_of_birth,race_ethnicity,religion,sexual_orientation,age_win,continent
Ethel Barrymore,Best Supporting Actress,1945,None but the Lonely Heart, Pa,United States of America,1879,White,Roman Catholic,Straight,66,North America
Anne Revere,Best Supporting Actress,1946,National Velvet,NY,United States of America,1903,White,Unknown,Straight,43,North America
Anne Baxter,Best Supporting Actress,1947,The Razor's Edge, In,United States of America,1923,White,Unknown,Straight,24,North America
Celeste Holm,Best Supporting Actress,1948,Gentleman's Agreement,NY,United States of America,1917,White,Unknown,Straight,31,North America
Claire Trevor,Best Supporting Actress,1949,Key Largo,NY,United States of America,1910,White,Unknown,Straight,39,North America
Mercedes McCambridge,Best Supporting Actress,1950,All the King's Men, Il,United States of America,1916,White,Roman Catholic,Straight,34,North America
Josephine Hull,Best Supporting Actress,1951,Harvey, Ma,United States of America,1886,White,Unknown,Straight,65,North America
Kim Hunter,Best Supporting Actress,1952,A Streetcar Named Desire, Mi,United States of America,1922,White,Unknown,Straight,30,North America
Gloria Grahame,Best Supporting Actress,1953,The Bad and the Beautiful, Ca,United States of America,1923,White,Unknown,Straight,30,North America
Donna Reed,Best Supporting Actress,1954,From Here to Eternity, Ia,United States of America,1921,White,Unknown,Straight,33,North America
Eva Marie Saint,Best Supporting Actress,1955,On the Waterfront, Nj,United States of America,1924,White,Unknown,Straight,31,North America
Jo Van Fleet,Best Supporting Actress,1956,East of Eden, Ca,United States of America,1914,White,Unknown,Straight,42,North America
Dorothy Malone,Best Supporting Actress,1957,Written on the Wind, Il,United States of America,1925,White,Unknown,Straight,32,North America
Miyoshi Umeki,Best Supporting Actress,1958,Sayonara, Hokkaido, Japan,1929,Asian,Unknown,Straight,29,Asia
Wendy Hiller,Best Supporting Actress,1959,Separate Tables, Cheshire, England,1912,White,Unknown,Straight,47,Europe
Shelley Winters,Best Supporting Actress,1960,The Diary of Anne Frank, Mo,United States of America,1920,White,Jewish,Straight,40,North America
Shirley Jones,Best Supporting Actress,1961,Elmer Gantry, Pa,United States of America,1934,White,Any type of Christian,Straight,27,North America
Rita Moreno,Best Supporting Actress,1962,West Side Story,NA, Puerto Rico,1931,Hispanic,Unknown,Straight,31,Latin America
Patty Duke,Best Supporting Actress,1963,The Miracle Worker, Ny,United States of America,1946,White,Roman Catholic,Straight,17,North America
Margaret Rutherford,Best Supporting Actress,1964,the V.I.P.s,NA, England,1892,White,Unknown,Straight,72,Europe
Lila Kedrova,Best Supporting Actress,1965,Zorba the Greek,NA, Russia,1918,White,Unknown,Straight,47,Europe
Shelley Winters,Best Supporting Actress,1966,A Patch of Blue, Mo,United States of America,1920,White,Jewish,Straight,46,North America
Sandy Dennis,Best Supporting Actress,1967,Who's Afraid of Virginia Woolf?, Ne,United States of America,1937,White,Unknown,Bisexual,30,North America
Estelle Parsons,Best Supporting Actress,1968,Bonnie and Clyde, Ma,United States of America,1927,White,Unknown,Straight,41,North America
Ruth Gordon,Best Supporting Actress,1969,Rosemary's Baby, Ma,United States of America,1896,White,Unknown,Straight,73,North America
Goldie Hawn,Best Supporting Actress,1970,Cactus Flower, Md,United States of America,1945,White,Buddhist,Straight,25,North America
Helen Hayes,Best Supporting Actress,1971,Airport, Dc,United States of America,1900,White,Unknown,Straight,71,North America
Cloris Leachman,Best Supporting Actress,1972,The Last Picture Show, Ia,United States of America,1926,White,Unknown,Straight,46,North America
Eileen Heckart,Best Supporting Actress,1973,Butterflies Are Free, Oh,United States of America,1919,White,Unknown,Straight,54,North America
Tatum O'Neal,Best Supporting Actress,1974,Paper Moon, Ca,United States of America,1963,White,Unknown,Straight,11,North America
Ingrid Bergman,Best Supporting Actress,1975,Murder on the Orient Express,NA, Sweden,1915,White,Unknown,Straight,60,Europe
Lee Grant,Best Supporting Actress,1976,Shampoo,NY,United States of America,1927,White,Jewish,Straight,49,North America
Beatrice Straight,Best Supporting Actress,1977,Network, Ny,United States of America,1914,White,Unknown,Straight,63,North America
Vanessa Redgrave,Best Supporting Actress,1978,Julia,NA, England,1937,White,Unknown,Straight,41,Europe
Maggie Smith,Best Supporting Actress,1979,California Suite, Essex, England,1934,White,Unknown,Straight,45,Europe
Meryl Streep,Best Supporting Actress,1980,Kramer vs. Kramer, Nj,United States of America,1949,White,Unknown,Straight,31,North America
Mary Steenburgen,Best Supporting Actress,1981,Melvin and Howard, Ar,United States of America,1953,White,Unknown,Straight,28,North America
Maureen Stapleton,Best Supporting Actress,1982,Reds, Ny,United States of America,1925,White,Roman Catholic,Straight,57,North America
Jessica Lange,Best Supporting Actress,1983,Tootsie, Mn,United States of America,1949,White,Unknown,Straight,34,North America
Linda Hunt,Best Supporting Actress,1984,The Year of Living Dangerously, Nj,United States of America,1945,White,Unknown,Na,39,North America
Peggy Ashcroft,Best Supporting Actress,1985,A Passage to India, Surrey, England,1907,White,Agnostic,Straight,78,Europe
Anjelica Huston,Best Supporting Actress,1986,Prizzi's Honor, Ca,United States of America,1951,White,Unknown,Straight,35,North America
Dianne Wiest,Best Supporting Actress,1987,Hannah and Her Sisters, Mo,United States of America,1948,White,Unknown,Straight,39,North America
Olympia Dukakis,Best Supporting Actress,1988,Moonstruck, Ma,United States of America,1931,White,Unknown,Straight,57,North America
Geena Davis,Best Supporting Actress,1989,The Accidental Tourist, Ma,United States of America,1956,White,Any type of Christian,Straight,33,North America
Brenda Fricker,Best Supporting Actress,1990,My Left Foot,NA, Ireland,1945,White,Unknown,Straight,45,Europe
Whoopi Goldberg,Best Supporting Actress,1991,Ghost,NY,United States of America,1955,Black,Atheist,Straight,36,North America
Mercedes Ruehl,Best Supporting Actress,1992,The Fisher King, Ny,United States of America,1948,Hispanic,Roman Catholic,Straight,44,North America
Marisa Tomei,Best Supporting Actress,1993,My Cousin Vinny, Ny,United States of America,1964,White,Unknown,Straight,29,North America
Anna Paquin,Best Supporting Actress,1994,The Piano, Manitoba, Canada,1982,White,Unknown,Bisexual,12,North America
Dianne Wiest,Best Supporting Actress,1995,Bullets Over Broadway, Mo,United States of America,1948,White,Unknown,Straight,47,North America
Mira Sorvino,Best Supporting Actress,1996,Mighty Aphrodite, Nj,United States of America,1967,White,Atheist,Straight,29,North America
Juliette Binoche,Best Supporting Actress,1997,The English Patient,NA, France,1964,White,Unknown,Straight,33,Europe
Kim Basinger,Best Supporting Actress,1998,L.A. Confidential, Ga,United States of America,1953,White,Unknown,Straight,45,North America
Judi Dench,Best Supporting Actress,1999,Shakespeare in Love, North Yorkshire, England,1934,White,Any type of Christian,Straight,65,Europe
Angelina Jolie,Best Supporting Actress,2000,"Girl, Interrupted", Ca,United States of America,1975,White,Buddhist,Bisexual,25,North America
Marcia Gay Harden,Best Supporting Actress,2001,Pollock, Ca,United States of America,1959,White,Unknown,Straight,42,North America
Jennifer Connelly,Best Supporting Actress,2002,A Beautiful Mind, Ny,United States of America,1970,White,Jewish,Straight,32,North America
Catherine Zeta-Jones,Best Supporting Actress,2003,Chicago,NA, Wales,1969,White,Roman Catholic,Straight,34,Europe
Ren̩e Zellweger,Best Supporting Actress,2004,Cold Mountain, Tx,United States of America,1969,White,Unknown,Straight,35,North America
Cate Blanchett,Best Supporting Actress,2005,The Aviator, Victoria, Australia,1969,White,Unknown,Straight,36,Oceania
Rachel Weisz,Best Supporting Actress,2006,The Constant Gardener,NA, England,1971,White,Jewish,Straight,35,Europe
Jennifer Hudson,Best Supporting Actress,2007,Dreamgirls, Il,United States of America,1981,Black,Any type of Christian,Straight,26,North America
Tilda Swinton,Best Supporting Actress,2007,Michael Clayton,NA, England,1960,White,Unknown,Straight,47,Europe
Penelope Cruz,Best Supporting Actress,2009,Vicky Cristina Barcelona,NA, Spain,1974,Hispanic,Buddhist,Straight,35,Europe
Mo'Nique,Best Supporting Actress,2010,Precious, Md,United States of America,1967,Black,Unknown,Straight,43,North America
Melissa Leo,Best Supporting Actress,2011,The Fighter,NY,United States of America,1960,White,Unknown,Straight,51,North America
Octavia Spencer,Best Supporting Actress,2012,The Help, Al,United States of America,1972,Black,Unknown,Na,40,North America
Anne Hathaway,Best Supporting Actress,2013,Les Mis̩rables, Ny,United States of America,1982,White,Any type of Christian,Straight,31,North America
Lupita Nyong'o,Best Supporting Actress,2014,12 Years a Slave,NA, Mexico,1983,Black,Unknown,Na,31,Latin America
Billy Wilder,Best Director,1961,The Apartment, Galicia, Austria,1906,White,Jewish,Straight,55,Europe
Ginger Rogers,Best Actress,1941,Kitty Foyle, Mo,United States of America,1911,White,Any type of Christian,Straight,30,North America
Tom Hanks,Best Actor,1994,Philadelphia, Ca,United States of America,1956,White,Any type of Christian,Straight,38,North America
Michael Cimino,Best Director,1979,The Deer Hunter,NY,United States of America,1939,White,Unknown,Straight,40,North America
Mary Astor,Best Supporting Actress,1942,The Great Lie, Il,United States of America,1906,White,Roman Catholic,Straight,36,North America
Angelina Jolie,Best Supporting Actress,2000,"Girl, Interrupted", Ca,United States of America,1975,White,Buddhist,Bisexual,25,North America
Lee Grant,Best Supporting Actress,1976,Shampoo,NY,United States of America,1927,White,Jewish,Straight,49,North America
Anne Revere,Best Supporting Actress,1946,National Velvet,NY,United States of America,1903,White,Unknown,Straight,43,North America
Faye Dunaway,Best Actress,1977,Network, Fl,United States of America,1941,White,Roman Catholic,Straight,36,North America
Van Heflin,Best Supporting Actor,1943,Johnny Eager, Ok,United States of America,1910,White,Unknown,Straight,33,North America
Joanne Woodward,Best Actress,1958,The Three Faces of Eve, Ga,United States of America,1930,White,Unknown,Straight,28,North America
Gary Cooper,Best Actor,1953,High Noon, Mt,United States of America,1901,White,Roman Catholic,Straight,52,North America
Elizabeth Taylor,Best Actress,1967,Who's Afraid of Virginia Woolf?,NA, England,1932,White,Jewish,Straight,35,Europe
Hilary Swank,Best Actress,2005,Million Dollar Baby, Ne,United States of America,1974,White,Unknown,Straight,31,North America
Hilary Swank,Best Actress,2005,Million Dollar Baby, Ne,United States of America,1974,White,Unknown,Straight,31,North America
Gwyneth Paltrow,Best Actress,1999,Shakespeare in Love, Ca,United States of America,1972,White,Jewish,Straight,27,North America
Jack Albertson,Best Supporting Actor,1969,The Subject Was Roses, Ma,United States of America,1907,White,Unknown,Na,62,North America
Mo'Nique,Best Supporting Actress,2010,Precious, Md,United States of America,1967,Black,Unknown,Straight,43,North America
Marcia Gay Harden,Best Supporting Actress,2001,Pollock, Ca,United States of America,1959,White,Unknown,Straight,42,North America
Maggie Smith,Best Actress,1970,The Prime of Miss Jean Brodie, Essex, England,1934,White,Unknown,Straight,36,Europe
Rachel Weisz,Best Supporting Actress,2006,The Constant Gardener,NA, England,1971,White,Jewish,Straight,35,Europe
Danny Boyle,Best Director,2009,Slumdog Millionaire,NA, England,1956,White,Roman Catholic,Straight,53,Europe
Jason Robards,Best Supporting Actor,1977,All the President's Men, Il,United States of America,1922,White,Unknown,Straight,55,North America
James Coburn,Best Supporting Actor,1999,Affliction, Ne,United States of America,1928,White,Unknown,Straight,71,North America
John Huston,Best Director,1949,The Treasure of the Sierra Madre, Mo,United States of America,1906,White,Unknown,Straight,43,North America
